ปี-เดือน,เขื่อนแม่กวง,x1(อุณหภูมิ),x2(ความชื้น),x3(ความกดอากาศ),x4(ปริมาณน้ำฝน)
2556-05,47.34,29.29,65.29,1006.95,2.90
2556-06,45.02,28.86,71.14,1005.26,1.32
2556-07,45.88,27.89,77.24,1005.13,8.80
2556-08,51.90,27.30,80.79,1006.09,9.66
2556-09,77.58,27.46,78.93,1007.70,9.19
2556-10,102.28,26.17,78.41,1012.21,3.98
2556-11,119.67,26.40,75.62,1012.88,2.85
2556-12,131.41,21.05,75.11,1015.39,0.86
2557-01,128.85,21.32,71.70,1016.51,0.00
2557-02,115.17,24.27,59.02,1011.57,0.00
2557-03,103.83,27.71,52.50,1010.44,0.19
2557-04,88.63,29.58,60.21,1008.56,1.16
2557-05,73.07,29.09,70.27,1007.76,7.62
2557-06,70.86,28.81,73.95,1004.38,1.96
2557-07,53.69,27.99,76.75,1005.38,5.97
2557-08,36.80,27.44,79.32,1007.09,7.46
2557-09,45.64,27.63,78.09,1007.97,5.92
2557-10,40.88,27.27,73.72,1012.13,4.17
2557-11,43.16,25.75,73.61,1012.93,0.53
2557-12,47.36,23.48,70.53,1015.17,0.00
2558-01,48.39,22.25,69.01,1015.81,2.55
2558-02,46.96,24.38,57.60,1013.43,0.00
2558-03,43.24,27.94,55.23,1011.53,0.89
2558-04,38.74,29.62,57.67,1009.91,1.79
2558-05,34.30,30.39,63.76,1007.12,2.47
2558-06,33.40,29.91,65.13,1006.46,0.51
2558-07,32.31,28.21,73.97,1006.10,3.88
2558-08,27.28,28.20,75.35,1007.08,4.61
2558-09,30.37,28.20,77.48,1008.95,4.65
2558-10,32.70,27.30,73.31,1012.94,3.01
2558-11,29.83,26.77,71.63,1013.72,2.64
2558-12,30.13,24.51,68.50,1015.47,0.16
2559-01,31.13,21.59,65.20,1015.53,1.10
2559-02,31.29,24.22,60.28,1015.49,1.56
2559-03,28.50,29.40,51.60,1010.98,0.00
2559-04,25.46,32.40,47.87,1007.00,0.59
2559-05,23.92,31.08,63.14,1006.64,2.76
2559-06,30.38,28.04,79.80,1007.57,7.87
2559-07,40.33,27.63,81.10,1007.27,5.23
2559-08,44.21,27.67,81.00,1005.38,4.26
2559-09,63.89,27.64,82.17,1007.91,7.10
2559-10,96.50,27.64,78.94,1009.56,4.57
2559-11,107.07,26.31,77.94,1012.73,3.51
2559-12,113.26,24.03,74.20,1014.82,0.19
2560-01,108.26,23.74,75.44,1014.57,0.88
2560-02,97.72,24.96,59.86,1013.88,0.00
2560-03,75.42,29.11,53.87,1009.66,0.00
2560-04,45.41,29.53,63.22,1009.07,1.77
2560-05,36.31,28.86,71.63,1007.97,13.27
2560-06,43.28,28.24,75.85,1006.60,7.82
2560-07,48.97,27.63,78.74,1006.26,4.09
2560-08,55.58,27.79,78.04,1006.54,6.78
2560-09,84.69,27.91,78.55,1008.54,4.14
2560-10,106.10,26.99,79.03,1010.70,6.22
2560-11,118.21,26.22,72.36,1012.70,0.63
2560-12,126.73,23.18,70.81,1015.50,0.66
2561-01,121.19,23.37,70.00,1012.26,0.01
